Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,515.000000,515.200012,505.000000,508.024994,491.868591,37416
2019-07-22,508.100006,513.500000,501.549988,509.399994,493.199890,52900
2019-07-23,511.524994,513.049988,504.000000,505.825012,489.738556,96686
2019-07-24,505.500000,512.174988,500.850006,510.575012,494.337524,38664
2019-07-25,511.000000,513.400024,501.649994,505.950012,489.859589,71148
2019-07-26,501.024994,506.024994,499.274994,500.725006,484.800812,48042
2019-07-29,503.924988,511.725006,502.475006,507.725006,491.578156,69794
2019-07-30,508.000000,513.000000,505.950012,511.924988,495.644592,113810
2019-07-31,500.500000,518.650024,500.500000,517.275024,500.824463,51048
2019-08-01,518.500000,521.000000,507.649994,511.250000,494.991058,44888
2019-08-02,506.000000,507.649994,497.000000,505.649994,489.569183,82464
2019-08-05,507.500000,508.799988,498.600006,505.700012,489.617523,59164
2019-08-06,501.500000,518.224976,501.500000,512.174988,495.886627,82828
2019-08-07,510.850006,522.775024,508.500000,511.149994,494.894196,160780
2019-08-08,514.500000,547.500000,513.924988,544.000000,526.699585,261284
2019-08-09,537.500000,551.000000,537.500000,543.525024,526.239685,142960
2019-08-13,543.750000,544.700012,533.650024,536.250000,519.196045,64156
2019-08-14,535.299988,541.450012,528.775024,538.224976,522.081726,39544
2019-08-16,537.799988,537.875000,525.549988,530.825012,514.903687,30476
2019-08-19,532.849976,538.700012,529.500000,532.000000,516.043396,27650
2019-08-20,533.950012,545.450012,533.000000,541.924988,525.670715,79626
2019-08-21,547.000000,547.500000,533.575012,535.875000,519.802246,679144
2019-08-22,535.349976,543.049988,528.424988,539.224976,523.051758,76324
2019-08-23,543.950012,548.000000,539.375000,543.325012,527.028748,52032
2019-08-26,545.000000,548.025024,532.875000,546.325012,529.938904,57816
2019-08-27,549.500000,549.950012,532.224976,546.650024,530.253967,79940
2019-08-28,548.275024,564.125000,546.150024,561.700012,544.852661,132068
2019-08-29,560.000000,562.500000,555.000000,558.525024,541.772888,74984
2019-08-30,562.500000,562.500000,541.674988,550.125000,533.624817,94708
2019-09-03,551.500000,565.299988,551.424988,554.275024,537.650330,101960
2019-09-04,557.799988,564.200012,552.000000,562.625000,545.749939,50342
2019-09-05,559.349976,561.599976,551.900024,555.549988,538.887024,39940
2019-09-06,556.000000,560.049988,548.700012,550.750000,534.231018,130214
2019-09-09,550.000000,550.000000,540.500000,542.075012,525.816223,107150
2019-09-11,548.000000,548.000000,526.275024,528.625000,512.769653,850646
2019-09-12,529.549988,532.224976,524.099976,527.375000,511.557159,1391474
